From	To
ENSG00000006042	Q9Y2Y6
ENSG00000006042	A0ACI8Q819
ENSG00000006042	A0ACI8T3L9
ENSG00000006042	C9J3Y0
ENSG00000006042	C9J6Q8
ENSG00000006042	J3QLG7
ENSG00000006042	J3QS57
ENSG00000006042	J9JIC8
ENSG00000006062	Q99558
ENSG00000006062	A0A087WXF1
ENSG00000006062	A0A7P0Z419
ENSG00000006062	A0ACI8VKG6
ENSG00000006062	A0ACI8VKQ4
ENSG00000006062	A0ACI8VP41
ENSG00000006125	P63010
ENSG00000006125	A0A087WU93
ENSG00000006125	A0A087WXS3
ENSG00000006125	A0A087WYD1
ENSG00000006125	A0A087WZQ6
ENSG00000006125	A0A087X253
ENSG00000006125	A0ACI8R9D7
ENSG00000006125	A0ACI8S2G1
ENSG00000006125	A0ACI8U0E9
ENSG00000006125	A0ACI8U1B1
ENSG00000006125	A0ACI8VL86
ENSG00000006125	K7EJ01
ENSG00000006125	K7EJX1
ENSG00000006125	K7EKZ5
ENSG00000006125	K7EMN7
ENSG00000006125	K7EN71
ENSG00000006125	K7ERB2
ENSG00000006194	O14978
ENSG00000006194	A0A994J6B2
ENSG00000006194	D3DUC1
ENSG00000006194	I3L0N0
ENSG00000006194	I3L2X3
ENSG00000006194	I3L393
ENSG00000006194	I3NI39
ENSG00000006327	Q9NP84
ENSG00000006327	A0ACI8SUI2
ENSG00000006327	A0ACI8SUI9
ENSG00000006327	A0ACI8SUM8
ENSG00000006327	I3L0S4
ENSG00000006327	I3L1J9
ENSG00000006327	I3L3P4
ENSG00000006327	I3L539
ENSG00000006453	Q9UHR4
ENSG00000006453	A0ACI8PM31
ENSG00000006453	A0ACI8PXP2
ENSG00000006453	A0ACI8Q3N3
ENSG00000006453	A0ACI8QB62
ENSG00000006453	A0ACI8RB03
ENSG00000006453	A0ACI8RPN3
ENSG00000006453	A0ACI8TP53
ENSG00000006453	A0ACI8TQM4
ENSG00000006534	P43353
ENSG00000006534	A0A087WTE0
ENSG00000006534	A0A087WU54
ENSG00000006534	A0A087WUF8
ENSG00000006534	A0A087X192
ENSG00000006534	A0A087X2D4
ENSG00000006534	A0ACI8RGC8
ENSG00000006534	A0ACI8RVV6
ENSG00000006606	Q9Y258
ENSG00000006611	Q9Y6N9
ENSG00000006611	A0ACI8UYG9
ENSG00000006611	E9PNW1
ENSG00000006634	Q9UBU7
ENSG00000006634	A0ACI8QXF8
ENSG00000006634	A0ACI8T7Q0
ENSG00000006634	A0ACI8T7Q2
ENSG00000006634	A0ACI8T7Q4
ENSG00000006634	A0ACI8T7Q5
ENSG00000006634	A0ACI8T7R1
ENSG00000006634	A0ACI8T7Z3
ENSG00000006634	F6S2W1
ENSG00000006634	F8WF77
ENSG00000006638	P21731
ENSG00000006638	K7ER80
ENSG00000006659	Q8TCE9
ENSG00000006659	M0R163
ENSG00000006704	Q9UHL9
ENSG00000006704	A0ACI8R7Z0
ENSG00000006704	A0ACI8RS78
ENSG00000006704	A0ACI8RW23
ENSG00000006704	A0ACI8TI52
ENSG00000006704	A0ACI8TJ89
ENSG00000006704	A0ACI8TJH5
ENSG00000006704	A0ACI8TJW4
ENSG00000006704	A0ACI8TK26
